Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z
15063,-8.616862,-1.344814,5.317042,-1.89,-0.98,4.48,78.429131,-123.565361,65.887741,0,0.0,,,,,,
15083,-8.597719,-1.447709,5.130395,1.68,-5.18,-2.31,78.874466,-123.908951,65.683662,1,0.02,0.0191429999999996,-0.1028949999999999,-0.1866469999999997,-8.6072905,-1.3962615,5.2237185
15103,-8.358428,-1.471638,5.238076,6.09,-3.15,-6.44,79.450806,-124.784546,67.066635,2,0.04,0.2392909999999997,-0.023929,0.1076810000000003,-8.4780735,-1.4596735,5.1842355
15123,-8.159817,-1.617606,5.491724,11.2,-2.1,-8.12,79.726997,-125.364754,66.821747,3,0.06,0.1986109999999996,-0.1459680000000001,0.2536479999999992,-8.2591225,-1.544622,5.3649
15143,-8.133494,-1.660678,5.625727,10.71,0.21,-6.58,79.218796,-122.114326,65.578926,4,0.08,0.0263229999999996,-0.043072,0.1340030000000007,-8.146655500000001,-1.639142,5.5587255
15163,-8.243568,-1.715715,5.455831,7.56,-0.63,-5.95,79.599373,-126.152184,65.701714,5,0.1,-0.1100739999999991,-0.055037,-0.1698960000000005,-8.188531000000001,-1.6881965,5.540779000000001
15183,-8.348856,-1.730072,5.683156,3.92,-1.47,-6.16,78.685158,-125.469948,65.408218,6,0.12,-0.1052879999999998,-0.0143569999999999,0.2273250000000004,-8.296212,-1.7228935,5.5694935
15203,-8.269891,-1.684607,5.654442,-0.28,-3.64,-6.86,79.951797,-125.675987,66.204323,7,0.14,0.0789650000000001,0.045465,-0.0287139999999999,-8.3093735,-1.7073395,5.668799
15223,-8.432608,-1.49796,5.575476,-2.8,-4.48,-5.81,79.539894,-124.564781,64.721832,8,0.16,-0.1627170000000006,0.186647,-0.0789660000000003,-8.3512495,-1.5912835,5.614959000000001
15243,-8.557039,-1.478817,5.498903,-3.43,-3.22,-6.65,76.360802,-126.972374,61.933182,9,0.18,-0.1244309999999995,0.0191429999999999,-0.0765729999999997,-8.494823499999999,-1.4883885,5.5371895
15263,-8.143066,-1.495568,5.427115,-3.08,-1.61,-6.86,80.979073,-125.853638,66.025764,10,0.2,0.4139730000000003,-0.0167509999999999,-0.0717880000000006,-8.3500525,-1.4871925,5.463009
15283,-8.116744,-1.53864,5.230897,-3.08,2.31,-4.76,80.28759,-122.842796,64.321144,11,0.22,0.0263219999999986,-0.043072,-0.196218,-8.129905,-1.517104,5.329006
15302,-8.257926,-1.438138,5.099287,-3.92,6.79,-4.27,79.729523,-127.243919,64.946571,12,0.24,-0.1411819999999988,0.100502,-0.1316099999999993,-8.187335000000001,-1.488389,5.165092
